 CONJUNTO, EVALUADOR, BUSQUEDA, CLASIFICADOR, ATTR, %ICC, NTI, ICC, ICI, ROC, F-STAT, PROM, MIN,  MAX, SD, MAX-MIN, FEAT1, FEAT2, FEAT3, FEAT4, FEAT5, FEAT6, FEAT7, FEAT8, FEAT9, FEAT10
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','HjorthComp','KendaAutoct1','KendaCAutot1','PartialAutt1','PearsAutoct1','PearsCAutot1','HjorthMobi'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitCCm1h1','HjorthComp','AR_____FitNRMSEm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayes,4,70.2703,37,26,11,0.73235,0.70314,70.2703,70.2703,70.2703,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayes,3,62.1622,37,23,14,0.71176,0.62217,62.1622,62.1622,62.1622,0,0,'AR_____FitCCm1h1','AR_____FitNRMSEm1h1','HjorthComp',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayes,2,62.1622,37,23,14,0.70882,0.62217,62.1622,62.1622,62.1622,0,0,'HjorthComp','AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayes,1,64.8649,37,24,13,0.71765,0.64916,64.8649,64.8649,64.8649,0,0,'AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' ',' '


Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayesUpdateable,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','PartialAutt1','HjorthMobi','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayesUpdateable,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','HjorthMobi','PearsCAutot1','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayesUpdateable,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','HjorthComp','KendaAutoct1','KendaCAutot1','PartialAutt1','PearsAutoct1','PearsCAutot1','HjorthMobi'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayesUpdateable,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitCCm1h1','HjorthComp','AR_____FitNRMSEm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayesUpdateable,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayesUpdateable,4,70.2703,37,26,11,0.73235,0.70314,70.2703,70.2703,70.2703,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayesUpdateable,3,62.1622,37,23,14,0.71176,0.62217,62.1622,62.1622,62.1622,0,0,'AR_____FitCCm1h1','AR_____FitNRMSEm1h1','HjorthComp',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayesUpdateable,2,62.1622,37,23,14,0.70882,0.62217,62.1622,62.1622,62.1622,0,0,'HjorthComp','AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayesUpdateable,1,64.8649,37,24,13,0.71765,0.64916,64.8649,64.8649,64.8649,0,0,'AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' ',' '


Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,Logistic,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','PartialAutt1','HjorthMobi','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,Logistic,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','HjorthMobi','PearsCAutot1','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,Logistic,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','HjorthComp','KendaAutoct1','KendaCAutot1','PartialAutt1','PearsAutoct1','PearsCAutot1','HjorthMobi'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,Logistic,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitCCm1h1','HjorthComp','AR_____FitNRMSEm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,Logistic,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,Logistic,4,64.8649,37,24,13,0.63529,0.64761,64.8649,64.8649,64.8649,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,Logistic,3,72.973,37,27,10,0.67059,0.724,72.973,72.973,72.973,0,0,'AR_____FitCCm1h1','AR_____FitNRMSEm1h1','HjorthComp',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,Logistic,2,67.5676,37,25,12,0.68824,0.67326,67.5676,67.5676,67.5676,0,0,'HjorthComp','AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,Logistic,1,67.5676,37,25,12,0.75588,0.67568,67.5676,67.5676,67.5676,0,0,'AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' ',' '


Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,RBFNetwork,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','PartialAutt1','HjorthMobi','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,RBFNetwork,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','HjorthMobi','PearsCAutot1','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,RBFNetwork,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','HjorthComp','KendaAutoct1','KendaCAutot1','PartialAutt1','PearsAutoct1','PearsCAutot1','HjorthMobi'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,RBFNetwork,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitCCm1h1','HjorthComp','AR_____FitNRMSEm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,RBFNetwork,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,RBFNetwork,4,70.2703,37,26,11,0.7,0.69869,70.2703,70.2703,70.2703,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,RBFNetwork,3,78.3784,37,29,8,0.67941,0.77472,78.3784,78.3784,78.3784,0,0,'AR_____FitCCm1h1','AR_____FitNRMSEm1h1','HjorthComp',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,RBFNetwork,2,75.6757,37,28,9,0.65294,0.7493,75.6757,75.6757,75.6757,0,0,'HjorthComp','AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,RBFNetwork,1,75.6757,37,28,9,0.71765,0.7493,75.6757,75.6757,75.6757,0,0,'AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' ',' '


Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SimpleLogistic,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','PartialAutt1','HjorthMobi','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SimpleLogistic,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','HjorthMobi','PearsCAutot1','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SimpleLogistic,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','HjorthComp','KendaAutoct1','KendaCAutot1','PartialAutt1','PearsAutoct1','PearsCAutot1','HjorthMobi'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SimpleLogistic,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitCCm1h1','HjorthComp','AR_____FitNRMSEm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SimpleLogistic,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SimpleLogistic,4,75.6757,37,28,9,0.77941,0.75604,75.6757,75.6757,75.6757,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SimpleLogistic,3,67.5676,37,25,12,0.75294,0.67568,67.5676,67.5676,67.5676,0,0,'AR_____FitCCm1h1','AR_____FitNRMSEm1h1','HjorthComp',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SimpleLogistic,2,67.5676,37,25,12,0.75294,0.67568,67.5676,67.5676,67.5676,0,0,'HjorthComp','AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SimpleLogistic,1,67.5676,37,25,12,0.75294,0.67568,67.5676,67.5676,67.5676,0,0,'AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' ',' '


Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SMO,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','PartialAutt1','HjorthMobi','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SMO,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','HjorthMobi','PearsCAutot1','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SMO,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','HjorthComp','KendaAutoct1','KendaCAutot1','PartialAutt1','PearsAutoct1','PearsCAutot1','HjorthMobi'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SMO,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitCCm1h1','HjorthComp','AR_____FitNRMSEm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SMO,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SMO,4,72.973,37,27,10,0.72353,0.72772,72.973,72.973,72.973,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SMO,3,75.6757,37,28,9,0.73529,0.73531,75.6757,75.6757,75.6757,0,0,'AR_____FitCCm1h1','AR_____FitNRMSEm1h1','HjorthComp',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SMO,2,78.3784,37,29,8,0.76471,0.76854,78.3784,78.3784,78.3784,0,0,'HjorthComp','AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SMO,1,72.973,37,27,10,0.70588,0.70045,72.973,72.973,72.973,0,0,'AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' ',' '


Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SPegasos,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','PartialAutt1','HjorthMobi','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SPegasos,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','HjorthMobi','PearsCAutot1','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SPegasos,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','HjorthComp','KendaAutoct1','KendaCAutot1','PartialAutt1','PearsAutoct1','PearsCAutot1','HjorthMobi'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SPegasos,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitCCm1h1','HjorthComp','AR_____FitNRMSEm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SPegasos,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SPegasos,4,64.8649,37,24,13,0.64853,0.64916,64.8649,64.8649,64.8649,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SPegasos,3,72.973,37,27,10,0.71912,0.724,72.973,72.973,72.973,0,0,'AR_____FitCCm1h1','AR_____FitNRMSEm1h1','HjorthComp',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SPegasos,2,72.973,37,27,10,0.71912,0.724,72.973,72.973,72.973,0,0,'HjorthComp','AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,SPegasos,1,72.973,37,27,10,0.71471,0.7184,72.973,72.973,72.973,0,0,'AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' ',' '


Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,VotedPerceptron,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','PartialAutt1','HjorthMobi','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,VotedPerceptron,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','HjorthMobi','PearsCAutot1','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,VotedPerceptron,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','HjorthComp','KendaAutoct1','KendaCAutot1','PartialAutt1','PearsAutoct1','PearsCAutot1','HjorthMobi'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,VotedPerceptron,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitCCm1h1','HjorthComp','AR_____FitNRMSEm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,VotedPerceptron,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,VotedPerceptron,4,56.7568,37,21,16,0.62206,0.56435,56.7568,56.7568,56.7568,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,VotedPerceptron,3,54.0541,37,20,17,0.43824,0.37933,54.0541,54.0541,54.0541,0,0,'AR_____FitCCm1h1','AR_____FitNRMSEm1h1','HjorthComp',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,VotedPerceptron,2,54.0541,37,20,17,0.43824,0.37933,54.0541,54.0541,54.0541,0,0,'HjorthComp','AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,VotedPerceptron,1,54.0541,37,20,17,0.43824,0.37933,54.0541,54.0541,54.0541,0,0,'AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' ',' '


Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,LWL,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','PartialAutt1','HjorthMobi','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,LWL,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','HjorthMobi','PearsCAutot1','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,LWL,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','HjorthComp','KendaAutoct1','KendaCAutot1','PartialAutt1','PearsAutoct1','PearsCAutot1','HjorthMobi'
